date,positive tweets,negative tweets,neutral tweets,Total,log_cases
2020-03-04,0.005056890012642225,0.002617801047120419,0.007532956685499058,0.004697592483852026,0.0
2020-03-05,0.0025284450063211127,0.018324607329842934,0.024482109227871942,0.012331180270111566,0.13457263660753566
2020-03-06,0.007585335018963339,0.002617801047120419,0.0,0.0035231943628890186,0.23277241704174798
2020-03-07,0.0,0.0,0.0018832391713747643,0.0,0.23277241704174798
2020-03-08,0.0012642225031605564,0.010471204188481676,0.0,0.0023487962419260124,0.24121892793059524
2020-03-09,0.02402022756005057,0.041884816753926704,0.052730696798493404,0.0364063417498532,0.2858274028008981
2020-03-10,0.15676359039190899,0.17277486910994766,0.16760828625235405,0.16324133881385788,0.3124679857421046
2020-03-11,0.21744627054361568,0.274869109947644,0.28813559322033894,0.25190839694656486,0.3890064099128003
2020-03-12,0.493046776232617,0.5392670157068064,0.6986817325800376,0.5672342924251321,0.4420613956719504
2020-03-13,1.0,1.0,0.9999999999999999,1.0,0.4889553122227331
2020-03-14,0.4981036662452592,0.5078534031413613,0.46327683615819204,0.48913681738109216,0.5430989857038669
2020-03-15,0.5549936788874842,0.5314136125654451,0.5856873822975518,0.5590135055783911,0.5430989857038669
2020-03-16,0.6194690265486725,0.5340314136125655,0.6271186440677966,0.6024662360540224,0.5958114925740183
2020-03-17,0.8470290771175727,0.6701570680628273,0.935969868173258,0.8349970640046976,0.6505836726938599
2020-03-18,0.5448798988621998,0.5392670157068064,0.5951035781544256,0.5590135055783911,0.7313749511689744
2020-03-19,0.7762326169405815,0.7251308900523561,0.7589453860640302,0.7592483852025838,0.8040107546630423
2020-03-20,0.7319848293299621,0.6413612565445027,0.7645951035781544,0.7216676453317675,0.8296831542764924
2020-03-21,0.7142857142857143,0.6204188481675393,0.8229755178907722,0.726952436876101,0.86654241944136
2020-03-22,0.6472819216182049,0.5078534031413613,0.6760828625235404,0.6247798003523195,0.8906630144033427
2020-03-23,0.5689001264222503,0.5052356020942409,0.48964218455743874,0.5296535525543159,0.9142163159944491
2020-03-24,0.5764854614412137,0.40052356020942415,0.47457627118644063,0.5049911920140928,0.9328179498456085
2020-03-25,0.5941845764854614,0.4136125654450262,0.5254237288135594,0.532002348796242,0.9503601223487697
2020-03-26,0.7206068268015171,0.5916230366492147,0.743879472693032,0.6987668819729889,0.9700576655227043
2020-03-27,0.6144121365360303,0.44240837696335084,0.5348399246704332,0.55079271873165,0.9852287323987969
2020-03-28,0.5739570164348925,0.4345549738219896,0.6629001883239172,0.5701702877275396,1.0
